weekly_div,weekly_loy,weekly_reg,daily_div,daily_loy,daily_reg,age,gender,marital,education,working,OS1Class
0.973644844,0.555555556,0.889613005,0.870793598,0.555555556,0.949137703,25,Male,Single,High School,Private Sector Employee,0
0.919583693,0.741935484,0.910739845,0.946746373,0.419354839,0.765668571,49,Male,Married,Master,Private Sector Employee,0
0.971682608,0.535714286,0.963046448,0.896465391,0.446428571,0.956527588,35,Male,Married,Master,Public Servant,1
0.959211977,0.58974359,0.995349621,0.950631215,0.358974359,0.899011238,32,Female,Single,College,Public Servant,1
0.979275775,0.545454545,0.874560275,0.931779653,0.409090909,0.914908792,26,Female,Single,College,Private Sector Employee,1
0.990160628,0.520661157,0.881842587,0.925898091,0.314049587,0.969739029,57,Male,Married,College,Private Sector Employee,1
0.982329863,0.533333333,0.935881658,0.95755585,0.275,0.849079523,30,Male,Single,High School,Private Sector Employee,1
0.881120082,0.735294118,0.916729347,0.938988078,0.470588235,0.895293441,25,Female,Single,College,Private Sector Employee,1
0.830654589,0.810810811,0.85837054,0.932243839,0.432432432,0.598584965,29,Male,Single,College,Public Servant,0
0.940794195,0.582089552,0.937361,0.953165137,0.343283582,0.966012808,32,Male,Married,Primary School,Public Servant,1
0.966471312,0.6,0.805306175,0.919726212,0.4,0.708287918,39,Female,Single,College,Private Sector Employee,0
0.978453321,0.536,0.991927453,0.859760738,0.448,0.896402899,36,Male,Married,College,Private Sector Employee,1
0.961809082,0.568493151,0.974371004,0.84477988,0.445205479,0.92058719,37,Male,Single,College,Private Sector Employee,1
0.987372876,0.511111111,0.902226584,0.874850155,0.42962963,0.882841046,29,Male,Single,College,Private Sector Employee,1
0.879656618,0.75,0.822918672,0.929273853,0.458333333,0.616358863,30,Male,Single,High School,Private Sector Employee,1
0.891297234,0.685714286,0.905911461,0.917034014,0.457142857,0.873126484,28,Female,Single,College,Private Sector Employee,1
0.97306327,0.533333333,0.983831906,0.94647523,0.277777778,0.975614602,38,Male,Single,PHD,Private Sector Employee,1
0.942183134,0.637931034,0.912248093,0.936875526,0.362068966,0.980906752,40,Male,Married,High School,Self-Employed - Retail,0
0.941250407,0.636363636,0.860147609,0.954965533,0.5,0.764279187,48,Female,Married,Primary School,Private Sector Employee,0
0.957928906,0.6,0.715597137,0.922176843,0.6,0.711853818,52,Male,Married,High School,Private Sector Employee,1
0.913264002,0.64,0.74328442,0.953415172,0.36,0.827127003,54,Male,Married,Primary School,Retiree & Non-Employed,0
0.942022899,0.606060606,0.718442199,0.95162532,0.333333333,0.527356078,41,Male,Married,High School,Non-Employed,1
0.926539423,0.642857143,0.908141282,0.953820955,0.357142857,0.720295478,34,Male,Married,PHD,Public Servant,0
0.700576755,0.857142857,0.765412657,0.957879197,0.5,0.645194305,26,Male,Single,College,Private Sector Employee,0
0.940925622,0.666666667,0.780068192,0.929481776,0.571428571,0.968678243,51,Male,Married,High School,Private Sector Employee,1
0.929723392,0.631578947,0.827034882,0.961533794,0.421052632,0.957570683,33,Male,Married,Primary School,Private Sector Employee,1
0.936859993,0.633333333,0.740395423,0.927295702,0.466666667,0.619388414,50,Male,Married,College,Private Sector Employee,1
0.975664138,0.583333333,0.702592675,0.951796181,0.583333333,0.703407081,30,Male,Married,High School,Private Sector Employee,1
0.992928155,0.481481481,0.886117456,0.927662715,0.444444444,0.927078245,55,Female,Married,High School,Private Sector Employee,0
0.954303545,0.611111111,0.989177842,0.921353193,0.351851852,0.850391174,55,Male,Married,Master,Public Servant,0
0.976099826,0.557692308,0.977248198,0.909132465,0.403846154,0.952397644,30,Male,Single,College,Private Sector Employee,1
0.918375223,0.666666667,0.862467029,0.903608912,0.452380952,0.962655376,45,Male,Married,High School,Private Sector Employee,1
0.979278197,0.564102564,0.843549972,0.871084356,0.512820513,0.885679143,27,Female,Divorced,High School,Private Sector Employee,1
0.952963897,0.588235294,0.961358244,0.967210365,0.323529412,0.875210104,26,Male,Single,College,Private Sector Employee,0
0.973142043,0.564102564,0.956629741,0.936002609,0.333333333,0.955553114,35,Male,Married,College,Public Servant,0
0.939838439,0.642857143,0.955112103,0.928896887,0.5,0.928620753,34,Male,Single,College,Private Sector Employee,0
0.844741134,0.933333333,0.945405839,0.928361038,0.666666667,0.958378277,40,Male,Married,High School,Private Sector Employee,0
0.846475143,0.833333333,0.875496344,0.9330846,0.4,0.809666675,32,Male,Married,College,Private Sector Employee,1
0.969295192,0.546511628,0.877605658,0.905694398,0.325581395,0.872146328,29,Female,Married,College,Private Sector Employee,1
0.965648091,0.5625,0.967218089,0.95367244,0.354166667,0.973712154,37,Male,Married,College,Private Sector Employee,0
0.898374192,0.666666667,0.943150419,0.953352274,0.5,0.911076209,38,Male,Married,College,Private Sector Employee,1
0.971809059,0.55,0.959412261,0.895042827,0.55,0.917792919,31,Male,Single,High School,Private Sector Employee,1
0.976411095,0.631578947,0.73895354,0.942590729,0.473684211,0.862198626,51,Male,Divorced,College,Retiree & Non-Employed,1
0.898244402,0.7,0.775997543,0.942680715,0.6,0.714268045,31,Male,Single,College,Private Sector Employee,0
0.914804442,0.733333333,0.807306095,0.882079904,0.533333333,0.936294024,31,Male,Married,College,Private Sector Employee,1
0.977597819,0.543307087,0.974264092,0.954414389,0.283464567,0.993567812,54,Male,Married,High School,Retiree & Non-Employed,1
0.990705044,0.505050505,0.986553387,0.915204079,0.353535354,0.96121632,35,Male,Single,College,Private Sector Employee,1
0.92486787,0.596774194,0.934006193,0.930264618,0.306451613,0.881436315,38,Male,Married,High School,Private Sector Employee,1
0.974943484,0.564102564,0.945164126,0.925392042,0.41025641,0.934210134,38,Female,Married,Master,Private Sector Employee,1
0.980852524,0.536,0.92864962,0.896236993,0.4,0.936592359,40,Male,Married,College,Private Sector Employee,1
0.963431377,0.590163934,0.709050808,0.928755992,0.37704918,0.55663591,27,Male,Single,College,Public Servant,1
0.952281795,0.607843137,0.958290931,0.968073724,0.333333333,0.857893489,42,Male,Married,College,Private Sector Employee,1
0.953256661,0.583333333,0.899633296,0.869331105,0.4375,0.86013513,43,Male,Divorced,College,Private Sector Employee,0
0.993102511,0.493150685,0.955785191,0.926852332,0.363013699,0.955734045,37,Male,Married,College,Public Servant,1
0.982207613,0.52173913,0.924176081,0.948787241,0.376811594,0.997251052,37,Male,Married,College,Private Sector Employee,0
0.981929886,0.534883721,0.978957458,0.877280681,0.5,0.960629372,31,Male,Married,College,Public Servant,0
0.963198752,0.583333333,0.946473351,0.956763304,0.3,0.966932846,29,Male,Married,Master,Private Sector Employee,1
0.98535891,0.534883721,0.898472904,0.956978654,0.325581395,0.85229717,29,Male,Single,College,Private Sector Employee,1
0.944591394,0.609756098,0.903172443,0.9255203,0.414634146,0.954138756,36,Male,Single,High School,Private Sector Employee,0
0.996921032,0.471153846,0.894587449,0.939021472,0.288461538,0.896471006,34,Male,Married,College,Private Sector Employee,1
0.926275298,0.611111111,0.761046787,0.880438749,0.527777778,0.912946075,29,Male,Married,High School,Private Sector Employee,1
0.98516173,0.544117647,0.918889663,0.918630485,0.338235294,0.949480224,32,Male,Married,College,Private Sector Employee,1
0.904952992,0.65625,0.896245467,0.939924656,0.40625,0.905893996,36,Female,Married,College,Private Sector Employee,1
0.944601851,0.603773585,0.84174379,0.914700398,0.396226415,0.86407118,43,Female,Married,High School,Private Sector Employee,0
0.981414993,0.541666667,0.925205017,0.913201704,0.458333333,0.968651796,37,Female,Divorced,College,Private Sector Employee,0
0.987657808,0.511111111,0.936618714,0.904827335,0.444444444,0.890004719,27,Male,Single,College,Public Servant,0
0.947097232,0.658536585,0.758193403,0.890296684,0.487804878,0.869471688,24,Male,Single,High School,Private Sector Employee,1
0.944524743,0.617647059,0.913359419,0.913071805,0.485294118,0.914464409,62,Male,Married,Master,Private Sector Employee,1
0.945659607,0.56097561,0.687193915,0.963807772,0.292682927,0.499196985,37,Male,Married,College,Private Sector Employee,0
0.953934142,0.571428571,0.696907346,0.983369365,0.523809524,0.662268968,39,Female,Single,College,Private Sector Employee,0
0.987473084,0.511111111,0.872495927,0.945938654,0.344444444,0.931577046,40,Male,Married,Middle School,Self-Employed - Retail,1
0.917576957,0.649122807,0.9755873,0.927113475,0.403508772,0.829378927,37,Female,Married,College,Public Servant,1
0.909786381,0.689655172,0.92325368,0.940310249,0.448275862,0.609848399,21,Male,Single,College,Private Sector Employee,1
0.973088498,0.571428571,0.8736982,0.877614444,0.5,0.81961504,33,Male,Married,College,Private Sector Employee,1
0.982038587,0.534090909,0.96403934,0.857249718,0.465909091,0.916889103,31,Male,Single,College,Private Sector Employee,0
0.962007537,0.5875,0.995421939,0.9181007,0.3375,0.929283128,24,Male,Single,College,Self-Employed - Manufacture,1
0.97627573,0.565217391,0.929517188,0.947408472,0.31884058,0.851087453,31,Female,Single,College,Private Sector Employee,1
0.971518297,0.571428571,0.931840822,0.908509972,0.428571429,0.954564352,31,Female,Single,High School,Public Servant,1
0.98483984,0.533568905,0.994015187,0.783344207,0.51590106,0.960688863,33,Male,Single,Master,Private Sector Employee,1
0.939780583,0.632653061,0.92767644,0.95781471,0.285714286,0.918236229,32,Male,Married,High School,Private Sector Employee,1
0.962861563,0.571428571,0.944433428,0.904261567,0.415584416,0.834224904,28,Male,Single,High School,Public Servant,1
0.990183302,0.50310559,0.904006071,0.921014425,0.329192547,0.954568295,38,Male,Married,College,Public Servant,1
0.926214183,0.633333333,0.974675545,0.919284571,0.5,0.98183943,35,Female,Married,Primary School,Unknown,1
0.92531049,0.655172414,0.909103995,0.903164164,0.551724138,0.915482699,27,Female,Married,College,Private Sector Employee,0
0.946782704,0.581395349,0.854453575,0.941894987,0.337209302,0.92403254,31,Male,Married,High School,Private Sector Employee,1
0.943716622,0.58490566,0.903678374,0.926071318,0.396226415,0.899966383,38,Male,Married,High School,Private Sector Employee,0
0.982915951,0.526666667,0.90962132,0.899761636,0.333333333,0.972974678,37,Male,Married,High School,Private Sector Employee,1
0.966204722,0.566037736,0.989841222,0.934760688,0.377358491,0.965707845,36,Male,Married,College,Public Servant,1
0.972227047,0.537037037,0.883330922,0.952759436,0.314814815,0.655821656,31,Male,Single,College,Private Sector Employee,1
0.950753097,0.602941176,0.93773718,0.944059298,0.352941176,0.895753393,26,Female,Single,College,Private Sector Employee,1
0.936334819,0.882352941,0.91583874,0.955807304,0.470588235,0.624710827,31,Male,Married,High School,Private Sector Employee,1
0.956715006,0.652173913,0.28017829,0.956698219,0.391304348,0.198195199,56,Male,Married,College,Self-Employed - Manufacture,1
0.920119763,0.6875,0.980372929,0.935873101,0.302083333,0.952054144,30,Male,Married,College,Public Servant,1
0.833575847,0.697674419,0.926321714,0.971392961,0.302325581,0.859896828,51,Male,Married,College,Retiree & Non-Employed,1
0.932051942,0.571428571,0.919691236,0.920798352,0.452380952,0.933716193,32,Female,Married,College,Private Sector Employee,0
